day	hour	value
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	96
1	8	111
1	9	88
1	10	126
1	11	84
1	12	84
1	13	83
1	14	85
1	15	88
1	16	92
1	17	97
1	18	83
1	19	81
1	20	72
1	21	0
1	22	0
1	23	0
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	97
2	13	88
2	14	92
2	15	85
2	16	81
2	17	85
2	18	107
2	19	92
2	20	107
2	21	83
2	22	84
2	23	81
3	0	67
3	1	69
3	2	84
3	3	72
3	4	63
3	5	61
3	6	77
3	7	88
3	8	107
3	9	88
3	10	88
3	11	88
3	12	0
3	13	81
3	14	88
3	15	0
3	16	102
3	17	88
3	18	97
3	19	97
3	20	92
3	21	85
3	22	97
3	23	77
4	0	85
4	1	57
4	2	65
4	3	67
4	4	61
4	5	72
4	6	133
4	7	84
4	8	0
4	9	88
4	10	91
4	11	121
4	12	91
4	13	85
4	14	92
4	15	100
4	16	97
4	17	88
4	18	81
4	19	93
4	20	84
4	21	93
4	22	97
4	23	72
5	0	78
5	1	69
5	2	113
5	3	65
5	4	64
5	5	65
5	6	61
5	7	61
5	8	100
5	9	91
5	10	97
5	11	83
5	12	102
5	13	92
5	14	88
5	15	85
5	16	97
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	97
6	10	91
6	11	74
6	12	84
6	13	83
6	14	81
6	15	88
6	16	74
6	17	92
6	18	92
6	19	107
6	20	78
6	21	110
6	22	103
6	23	84
7	0	83
7	1	83
7	2	107
7	3	113
7	4	65
7	5	69
7	6	121
7	7	111
7	8	64
7	9	85
7	10	91
7	11	97
7	12	103
7	13	88
7	14	84
7	15	77
7	16	85
7	17	84
7	18	72
7	19	83
7	20	0
7	21	0
7	22	0
7	23	73
8	0	72
8	1	65
8	2	117
8	3	59
8	4	93
8	5	65
8	6	69
8	7	102
8	8	111
8	9	88
8	10	81
8	11	81
8	12	113
8	13	92
8	14	83
8	15	103
8	16	88
8	17	102
8	18	116
8	19	88
8	20	97
8	21	97
8	22	91
8	23	88
9	0	77
9	1	88
9	2	95
9	3	81
9	4	88
9	5	81
9	6	81
9	7	107
9	8	97
9	9	78
9	10	0
9	11	0
9	12	93
9	13	102
9	14	111
9	15	88
9	16	83
9	17	88
9	18	77
9	19	84
9	20	84
9	21	103
9	22	111
9	23	81
10	0	81
10	1	65
10	2	74
10	3	68
10	4	63
10	5	81
10	6	69
10	7	111
10	8	69
10	9	100
10	10	97
10	11	85
10	12	178
10	13	178
10	14	0
10	15	0
10	16	81
10	17	88
10	18	88
10	19	81
10	20	76
10	21	91
10	22	83
10	23	93
11	0	97
11	1	88
11	2	97
11	3	97
